title,description,datePublished,citation,keywords
copsp.1,NA,NA,"Mesny F et al.,2021",NA
corcas1,NA,NA,"Lopez D et al.,N/D",NA
corcas2,NA,NA,2018/03/26,NA
corfum1,NA,NA,2016/05/04,NA
corgla1,NA,NA,"Miyauchi S et al.,2020",NA
corjav1,NA,NA,2019/07/15,NA
corjav2,NA,NA,2019/07/15,NA
cormil1,NA,NA,"Zheng P et al.,2011",NA
corsp.1,NA,NA,"de Bekker C et al.,2017",NA
crafun1,NA,NA,"Steindorff AS et al.,2021",NA
crevar1,NA,NA,"Ruiz-Dueñas FJ et al.,2020",NA
croque1,NA,NA,"Pendleton AL et al.,N/D",NA
crulae1,NA,NA,"Varga T et al.,2019",NA
cryamy1,NA,NA,"Sun S et al.,2017",NA
cryamy2,NA,NA,2016/09/06,NA
crycf.1,NA,NA,2019/11/12,NA
crycur1,NA,NA,"Close D et al.,2016",NA
crydep1,NA,NA,2016/09/06,NA
crydep2,NA,NA,2016/09/06,NA
cryflo1,NA,NA,2019/08/27,NA
crygat10,NA,NA,2015/02/10,NA
crygat11,NA,NA,2015/02/10,NA
crygat12,NA,NA,2015/02/10,NA
crygat13,NA,NA,2015/02/10,NA
crygat14,NA,NA,2015/02/10,NA
crygat15,NA,NA,2015/02/10,NA
crygat16,NA,NA,2015/02/10,NA
crygat17,NA,NA,2015/02/10,NA
crygat2,NA,NA,"Farrer RA et al.,2015",NA
